Country,Gold,Silver,Bronze
USA,44,32,25
RUS,26,21,16
GER,20,18,27
CHN,16,22,12
FRA,15,7,15
ITA,13,10,12
AUS,9,9,23
CUB,9,8,8
UKR,9,2,12
KOR,7,15,5
POL,7,5,5
HUN,7,4,10
ESP,5,6,6
ROU,4,7,9
NED,4,5,10
GRE,4,4,0
CZE,4,3,4
SUI,4,3,0
DEN,4,1,1
TUR,4,1,1
CAN,3,11,8
BUL,3,7,5
JPN,3,6,5
KAZ,3,4,4
BRA,3,3,9
NZL,3,2,1
RSA,3,1,1
IRL,3,0,1
SWE,2,4,2
NOR,2,2,3
BEL,2,2,2
NGR,2,1,3
PRK,2,1,2
ALG,2,0,1
ETH,2,0,1
GBR,1,8,6
BLR,1,6,8
KEN,1,4,3
JAM,1,3,2
FIN,1,2,1
INA,1,1,2
YUG,1,1,2
IRI,1,1,1
SVK,1,1,1
ARM,1,1,0
CRO,1,1,0
POR,1,0,1
THA,1,0,1
BDI,1,0,0
CRC,1,0,0
ECU,1,0,0
HKG,1,0,0
SYR,1,0,0
ARG,0,2,1
NAM,0,2,0
SLO,0,2,0
AUT,0,1,2
MAS,0,1,1
MDA,0,1,1
UZB,0,1,1
AZE,0,1,0
BAH,0,1,0
TPE,0,1,0
LAT,0,1,0
PHI,0,1,0
TGA,0,1,0
ZAM,0,1,0
GEO,0,0,2
MAR,0,0,2
TRI,0,0,2
IND,0,0,1
ISR,0,0,1
LTU,0,0,1
MEX,0,0,1
MGL,0,0,1
MOZ,0,0,1
PUR,0,0,1
TUN,0,0,1
UGA,0,0,1
79 nations,271,273,298
